iter	MultiClass
0	2.89540399
1	2.740892821
2	2.576738408
3	2.419308026
4	2.26897893
5	2.13948814
6	2.036015378
7	1.91545077
8	1.819735958
9	1.7245379
10	1.607263969
11	1.510110433
12	1.420813611
13	1.335515505
14	1.268974756
15	1.22020134
16	1.146389835
17	1.075432697
18	1.006131832
19	0.9381441483
20	0.9066880712
21	0.8534444998
22	0.8154909495
23	0.7688056633
24	0.7235423799
25	0.6861039281
26	0.6508432531
27	0.6150612653
28	0.5821174375
29	0.5537860913
30	0.5380496658
31	0.5135004022
32	0.4940435627
33	0.4743353999
34	0.4551483236
35	0.4336690712
36	0.4153347349
37	0.3983676486
38	0.3822995486
39	0.3704733488
40	0.3644193315
41	0.3513193845
42	0.3375796045
43	0.3234816232
44	0.3162056639
45	0.3060097207
46	0.2951474246
47	0.2846743231
48	0.2743566357
49	0.2658447053
50	0.2574974417
51	0.2485299339
52	0.2420385337
53	0.2347120374
54	0.2289920742
55	0.2223657488
56	0.2156191454
57	0.2100606583
58	0.205002439
59	0.1995678846
60	0.1948324569
61	0.189348694
62	0.1847743624
63	0.1799633009
64	0.1748063434
65	0.1700123098
66	0.1663097631
67	0.1622985484
68	0.1584238225
69	0.1544933318
70	0.1510172278
71	0.1474753681
72	0.1444596434
73	0.1416110397
74	0.1380920289
75	0.1350003537
76	0.1327480556
77	0.1303287818
78	0.127540043
79	0.1250949318
80	0.1229100549
81	0.1209455984
82	0.1188275247
83	0.117138379
84	0.1149997307
85	0.1130486593
86	0.1108384423
87	0.1091969298
88	0.1075680854
89	0.1058631917
90	0.1044479813
91	0.102678224
92	0.101304738
93	0.09990233887
94	0.0986748087
95	0.09700426069
96	0.09572199238
97	0.09423912475
98	0.09285941398
99	0.09154255158
100	0.09023540012
101	0.0889985698
102	0.08785943832
103	0.08685905521
104	0.08580691993
105	0.08502121796
106	0.08394675628
107	0.08318695098
108	0.08243688564
109	0.08157556716
110	0.0808121145
111	0.07978721333
112	0.07891435312
113	0.07797617325
114	0.07692285034
115	0.07592969387
116	0.0750343737
117	0.07422642025
118	0.07327079334
119	0.07235143554
120	0.07160621949
121	0.07085989462
122	0.06994776217
123	0.06935641061
124	0.06848482177
125	0.06774739119
126	0.0670234228
127	0.06643935644
128	0.06576638093
129	0.06511167549
130	0.06443274679
131	0.06392476236
132	0.06339984043
133	0.06264746236
134	0.06201066686
135	0.06141886923
136	0.06083743431
