id,jer_sent,ela_sent,kra_sent,geo_sent,jer_lines,ela_lines,kra_lines,geo_lines,location,rating
S07E08,0.0216,0.0863,0.0165,0.0228,106,58,52,60,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '2310 Broadway', 'George’s Apartment', 'Elaine’s Apartment', 'Kramer’s Apartment', 'CALIFORNIA', 'Queens', 'NEW YORK', 'Monk’s Café', 'UNITED KINGDOM', 'France', 'FRANCE']",8.5
S07E09,0.048,0.073,0.0368,-0.0238,70,46,22,72,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '75 W. 68th St', 'Kramer’s Apartment', 'Elaine’s Apartment', 'George’s Apartment']",8.4
S07E10,0.0654,0.0119,0.1673,0.0291,56,31,71,80,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CHINA', 'Costanza House', 'Central Park']",8.7
S07E11,0.0482,0.0699,0.0933,0.0412,61,32,37,55,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Queens', 'RUSSIA', 'Costanza House', '237 W. 72nd St', 'FLORIDA', '24 Fifth Ave', 'Central Park', 'Kramer’s Apartment']",9.0
S07E12,0.0339,0.1338,0.0664,0.0246,69,36,57,41,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Yankee Stadium', 'MARYLAND', 'J. Peterman', 'NEW YORK', 'Yankee Stadium', 'Bronx', '1120 Sixth Ave.', 'Costanza House', 'NEW JERSEY']",8.7
S07E13,0.0803,0.0312,0.0833,0.0786,75,61,62,57,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '182 Columbus Ave', 'Elaine’s Apartment', 'Newman’s Apartment', '1000 Tenth Ave']",8.3
S07E14,0.0919,0.0831,0.09300000000000001,0.1242,88,36,36,70,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Kramer’s Apartment', 'FLORIDA', 'George’s Apartment', 'Elaine’s Apartment', 'Pines Of Mar Gables', 'UNITED KINGDOM', 'France', 'FRANCE', 'FLORIDA', 'PENNSYLVANIA', 'Central Park', 'FLORIDA']",8.6
S07E15,0.11900000000000001,0.051,0.1866,0.1001,27,64,4,44,"['Florida', 'The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'AFRICA', 'Kramer’s Apartment', 'Del Boca Vista', 'Pines Of Mar Gables', 'Newman’s Apartment', 'J. Peterman', 'CHINA', 'Costanza House', 'Del Boca Vista', 'CHINA', '30 Rockefeller Pl']",8.6
S07E16,-0.0238,0.0553,-0.0145,0.0663,75,55,25,36,"['Florida', 'The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'AFRICA', 'Kramer’s Apartment', 'Del Boca Vista', 'Pines Of Mar Gables', 'Newman’s Apartment', 'J. Peterman', 'CHINA', 'Costanza House', 'Del Boca Vista', 'CHINA', '30 Rockefeller Pl']",8.6
S07E17,0.0363,0.0394,0.157,0.0636,75,44,33,39,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Tuscany', 'TENNESSEE', 'TENNESSEE', 'FLORIDA', 'Costanza House', 'ITALY', 'TENNESSEE', 'NEW JERSEY', 'George’s Apartment', 'Queens']",8.3
S07E18,0.042,0.0433,0.062,0.0946,137,33,45,78,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Kramer’s Apartment', 'Long Island', 'ITALY', 'J. Peterman', 'CALIFORNIA', 'George’s Apartment', '1120 Sixth Ave.', 'ITALY']",7.9
S07E19,0.003,0.0796,0.0779,0.0407,73,68,53,38,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'George’s Apartment', 'Kramer’s Apartment', 'ITALY', 'UNITED KINGDOM', 'Newman’s Apartment', 'Elaine’s Apartment', '2310 Broadway']",8.2
S07E20,-0.0167,-0.0163,0.0754,0.0359,71,54,40,48,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Yankee Stadium', '2310 Broadway', 'CANADA', 'JAPAN', 'Elaine’s Apartment', 'Cuba', 'CUBA', 'NETHERLANDS', 'Newman’s Apartment', 'Kramer’s Apartment', 'Bronx']",8.9
S07E21,0.0177,0.078,0.0399,0.0634,65,32,26,46,"['Michigan', 'The Improv', 'Jerry’s Apartment', 'Michigan', 'Monk’s Café', 'Yankee Stadium', 'J. Peterman', 'Queens', 'VERMONT', 'CONNECTICUT', 'MASSACHUSETTS', 'NEW YORK', 'MICHIGAN', 'MARYLAND', 'CUBA', 'Elaine’s Apartment', 'Newman’s Apartment', 'Michigan', 'Kramer’s Apartment', 'Michigan', 'MICHIGAN', 'OHIO', 'OHIO', 'Michigan', 'TENNESSEE', '525 E. 68th St']",8.8
S07E22,0.0801,0.0357,0.0347,0.059000000000000004,51,34,47,19,"['Michigan', 'The Improv', 'Jerry’s Apartment', 'Michigan', 'Monk’s Café', 'Yankee Stadium', 'J. Peterman', 'Queens', 'VERMONT', 'CONNECTICUT', 'MASSACHUSETTS', 'NEW YORK', 'MICHIGAN', 'MARYLAND', 'CUBA', 'Elaine’s Apartment', 'Newman’s Apartment', 'Michigan', 'Kramer’s Apartment', 'Michigan', 'MICHIGAN', 'OHIO', 'OHIO', 'Michigan', 'TENNESSEE', '525 E. 68th St']",8.8
S07E23,0.0185,0.0663,0.0508,0.1343,81,56,41,39,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'SWEDEN', 'NEW YORK', '1125 Park Ave', 'The Chicken Roaster', 'George’s Apartment']",8.4
S07E24,0.0401,0.0584,0.016,0.0635,84,20,59,77,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEW JERSEY', 'CHINA', 'China', 'NEW YORK', 'Yankee Stadium', 'ILLINOIS', 'George’s Apartment', 'Central Park', 'CALIFORNIA']",8.8
S08E01,0.0168,-0.0025,0.002,0.0694,92,52,37,65,"['The Improv', 'Jerry’s Apartment', 'J. Peterman', 'Monk’s Café', 'CALIFORNIA', 'MARYLAND', 'Queens', 'Mexico', 'MEXICO', 'J. Peterman', 'AFRICA', 'The Chicken Roaster', 'George’s Apartment', 'Del Boca Vista', 'Long Island']",8.3
S08E02,0.0606,0.1006,0.0817,0.0042,69,40,47,47,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'Long Island', 'Long Island', 'The Hamptons', 'Newman’s Apartment']",8.1
S08E03,0.046,0.0833,0.0385,0.1046,89,50,38,41,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEW YORK', 'GREECE', 'George’s Apartment', 'FRANCE', 'Jerry’s Apartment']",9.2
S08E04,-0.0415,0.0578,0.0231,0.0427,95,57,61,48,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Greenwich Village', 'J. Peterman', 'Central Park', 'HAWAII', 'Yankee Stadium', 'FRANCE']",9.0
S08E05,0.0149,0.0518,0.0516,0.0841,74,53,44,55,"['The Improv', 'Monk’s Café', 'Jerry’s Apartment', 'Central Park', 'UNITED KINGDOM', 'GERMANY', 'Kramer’s Apartment', 'Elaine’s Apartment', 'NETHERLANDS']",8.7
S08E06,0.0158,0.0854,0.0283,-0.0384,76,35,31,34,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'J. Peterman', 'FLORIDA', 'Yankee Stadium', 'Costanza House', 'SOUTH KOREA', 'TEXAS', 'Kramer’s Apartment', 'ARIZONA']",8.2
S08E07,0.0476,0.0734,0.1499,0.0717,104,57,52,44,"['Japanese', 'The Improv', 'Jerry’s Apartment', 'Japanese', 'Monk’s Café', 'Japanese', 'Kramer’s Apartment', 'Japanese', 'JAPAN', 'George’s Apartment', 'Japanese', '30 Rockefeller Pl', 'Japanese', 'Japanese', 'Japanese', 'JAPAN', 'Yankee Stadium', 'Japanese']",8.2
S08E08,0.0183,0.0657,0.0313,0.0369,80,52,46,51,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Queens', 'JAPAN', 'Kramer’s Apartment', 'Elaine’s Apartment', 'J. Peterman', '1125 Park Ave', 'RUSSIA', 'Central Park', 'MASSACHUSETTS', 'J. Peterman']",9.1
S08E09,0.0418,0.055,0.04,0.0805,85,39,36,59,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'SOUTH AMERICA', 'George’s Apartment', 'OHIO', 'Brooklyn', 'Bronx', 'Kramer’s Apartment', 'Elaine’s Apartment', 'Kramer’s Apartment', 'Yankee Stadium', 'Monk’s Café', '1120 Sixth Ave.', 'GREECE', 'MEXICO']",9.1
S08E10,0.0062,0.0966,-0.0312,0.0167,83,33,33,46,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Newman’s Apartment', 'MASSACHUSETTS', 'HAWAII', 'Central Park']",8.5
S08E11,0.0111,0.0387,0.0923,0.0768,95,39,52,53,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Bronx', 'NEW YORK', 'Kramer’s Apartment', 'Queens', 'Elaine’s Apartment', 'Del Boca Vista', 'MEXICO', 'George’s Apartment', 'NEW YORK']",8.5
S08E12,0.0662,0.0981,0.0999,0.0182,60,52,50,57,"['Florida', 'J. Peterman', 'The Improv', 'Jerry’s Apartment', 'Florida', 'Monk’s Café', 'J. Peterman', 'Kramer’s Apartment', '1000 Third Ave', 'Brooklyn', 'J. Peterman', 'NEW JERSEY', 'Costanza House', 'Pines Of Mar Gables', 'FLORIDA', 'FLORIDA', 'NEW JERSEY', 'GERMANY', 'FLORIDA', 'Del Boca Vista', '237 W. 72nd St']",7.8
S08E13,0.0453,-0.0091,0.0822,0.0617,61,64,46,35,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Yankee Stadium', '24 E. 13th St', 'Kramer’s Apartment', '1120 Sixth Ave.', 'Elaine’s Apartment', 'CANADA', 'J. Peterman', 'OHIO', 'OHIO', '1000 Tenth Ave', 'Queens']",8.7
S08E14,0.0726,0.0531,0.05,0.071,51,42,49,54,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'ITALY', 'J. Peterman', 'VERMONT', '1000 Third Ave', 'Queens', 'Newman’s Apartment', 'FRANCE', 'NEVADA']",8.2
S08E15,0.0012,0.0376,0.026000000000000002,0.0706,70,55,59,54,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'JAPAN', 'J. Peterman', 'George’s Apartment', 'Costanza House', '4 Pennsylvania Pl']",8.7
S08E16,0.0592,0.0473,0.134,0.0282,91,62,42,34,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'Mexico', 'Mexico', 'MEXICO', 'Mexico']",8.8
S08E17,0.0419,-0.0172,0.0315,0.0607,103,41,45,42,"['Cubans', 'Florida', 'The Improv', 'Jerry’s Apartment', 'Cubans', 'Del Boca Vista', 'Monk’s Café', 'Del Boca Vista', '2310 Broadway', 'CUBA', 'George’s Apartment', 'Cubans', 'Cubans', 'Cubans', 'J. Peterman', '525 E. 68th St', 'Cubans', 'Cubans', 'UNITED KINGDOM']",8.6
S08E18,0.0196,0.0568,-0.0173,0.026000000000000002,58,54,39,44,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Yankee Stadium', 'Central Park', 'Elaine’s Apartment', 'Brooklyn', 'Queens', 'Brooklyn']",8.9
S08E19,0.0608,0.054000000000000006,0.0561,0.0497,80,36,39,32,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '2373 Broadway', 'Kramer’s Apartment', '1000 Third Ave', 'WASHINGTON', 'NEW JERSEY']",9.0
S08E20,0.0519,-0.0125,0.0821,-0.0231,90,30,55,37,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Yankee Stadium', 'Newman’s Apartment', '1535 Broadway', 'Kramer’s Apartment']",8.3
S08E21,0.032,0.051,0.0415,0.0675,56,38,62,40,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Queens', 'Central Park', 'The Improv', 'George’s Apartment', 'Yankee Stadium']",8.6
S08E22,0.0467,-0.0037,0.0483,0.0346,100,35,49,59,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'J. Peterman', 'NEW YORK', 'George’s Apartment', 'Central Park', 'Elaine’s Apartment', '525 E. 68th St']",8.7
S09E01,-0.021,0.0042,0.0598,0.0779,89,30,45,64,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NETHERLANDS', 'NORWAY', 'ITALY', '2373 Broadway', 'Elaine’s Apartment', 'NORWAY', 'Kramer’s Apartment', 'Queens', 'Elaine’s Apartment']",8.6
S09E02,0.0571,0.0349,0.0446,0.083,117,52,54,54,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'The Butter Shave', 'Kramer’s Apartment', 'GERMANY', 'Elaine’s Apartment', 'CALIFORNIA', 'NETHERLANDS', 'The Butter Shave', 'The Butter Shave']",8.5
S09E03,0.0493,0.0949,0.0627,0.0668,77,52,36,58,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Costanza House', 'Jerry’s Apartment', '4 Pennsylvania Pl', 'Bronx', 'Kramer’s Apartment', 'Queens']",9.0
S09E04,0.0064,0.0274,0.0474,0.1072,89,42,53,44,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Del Boca Vista', 'Brooklyn', 'Kramer’s Apartment', 'Newman’s Apartment', 'CANADA', 'PENNSYLVANIA', 'UNITED KINGDOM', '30 Rockefeller Pl', 'Brooklyn', 'Jerry’s Apartment']",8.3
S09E05,0.0379,0.1242,0.0596,0.0093,77,23,59,57,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'George’s Apartment', 'Costanza House', 'Kramer’s Apartment', 'NEW JERSEY', 'Central Park']",8.1
S09E06,0.0579,0.0402,0.0846,0.0556,68,47,58,49,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'J. Peterman', 'Kramer’s Apartment', 'Central Park', 'TEXAS', 'MICHIGAN', 'George’s Apartment']",9.1
S09E07,0.001,-0.01,0.0666,0.0146,81,61,81,75,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', '101 Park Ave', 'Liberty Island', 'FRANCE', 'J. Peterman']",8.5
S09E08,0.0452,0.0139,0.0899,0.0727,100,79,51,67,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Central Park', 'Newman’s Apartment', 'Kramer’s Apartment', 'Elaine’s Apartment']",9.0
S09E09,0.0218,0.0505,0.1085,0.0689,67,45,41,62,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Kramer’s Apartment', 'CALIFORNIA', 'J. Peterman', '5 W. 63rd St', 'Elaine’s Apartment', 'Jerry’s Apartment']",8.4
S09E10,0.0555,0.0054,0.0884,0.0541,71,54,51,66,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Yankee Stadium', '101 Park Ave', 'Brooklyn', 'Long Island', '75 W. 68th St', 'Queens', 'Costanza House', 'NEW YORK']",8.8
S09E11,0.0193,0.0494,0.0428,-0.0201,71,40,37,76,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'NEW YORK']",8.6
S09E12,0.0363,0.1103,0.1078,0.0638,84,57,58,45,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Kramer’s Apartment', 'Newman’s Apartment', '1000 Third Ave', 'FLORIDA', 'George’s Apartment', 'WASHINGTON', 'Elaine’s Apartment']",8.4
S09E13,-0.0032,0.1492,0.1067,0.0764,89,52,32,47,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'J. Peterman']",8.0
S09E14,-0.0038,0.0408,0.0524,0.0023,102,68,40,60,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Newman’s Apartment', 'George’s Apartment', 'NEW YORK']",8.1
S09E15,0.0397,0.0485,0.1257,0.0067,65,65,38,58,"['Florida', 'The Hamptons', 'The Improv', 'Jerry’s Apartment', 'The Hamptons', 'Monk’s Café', 'The Hamptons', 'CHINA', '24 Fifth Ave', 'The Hamptons', 'Long Island', 'CALIFORNIA', 'Del Boca Vista', 'CALIFORNIA', 'Pines Of Mar Gables', 'FLORIDA', '2373 Broadway', 'Elaine’s Apartment', 'Long Island']",8.1
S09E16,0.0051,0.0521,0.1198,0.0136,67,44,30,56,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '101 Park Ave', 'NEVADA', 'Elaine’s Apartment']",8.5
S09E17,-0.0238,0.0452,0.0765,0.0269,76,36,37,36,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CHINA', 'CHINA', 'FRANCE', 'CHINA', 'J. Peterman', 'Del Boca Vista', 'Elaine’s Apartment', 'CALIFORNIA']",8.4
S09E18,0.0735,0.0203,-0.0066,0.0633,72,41,33,54,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'J. Peterman', 'PENNSYLVANIA', 'UNITED KINGDOM']",8.9
S09E19,0.0514,-0.0172,0.0174,-0.0117,105,58,56,45,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '2373 Broadway', 'Kramer’s Apartment', 'Kramer’s Apartment', 'Elaine’s Apartment', '101 Park Ave', 'NEW JERSEY']",8.2
S09E20,0.0089,0.0344,0.0518,0.0099,75,48,57,49,"['The Improv', 'Monk’s Café', 'Jerry’s Apartment', 'Queens', 'MASSACHUSETTS', 'SWEDEN']",8.1
S09E23,0.054000000000000006,0.053,0.0972,0.0122,151,75,38,126,"['The Improv', 'Jerry’s Apartment', 'California', 'Massachusetts', 'Monk’s Café', 'California', '30 Rockefeller Pl', 'George’s Apartment', 'California', 'Elaine’s Apartment', 'CALIFORNIA', 'Del Boca Vista', 'Costanza House', 'California', 'JAPAN', 'SWEDEN', 'RUSSIA', 'SWITZERLAND', 'FRANCE', 'CALIFORNIA', 'MASSACHUSETTS', 'CALIFORNIA', 'Massachusetts', 'MASSACHUSETTS', 'FRANCE', '1120 Sixth Ave.', 'MASSACHUSETTS', 'NEW JERSEY', 'MASSACHUSETTS', 'SOUTH KOREA', 'Newman’s Apartment', 'Massachusetts', 'Massachusetts', 'J. Peterman', 'Massachusetts', 'Massachusetts', 'Massachusetts', 'Massachusetts', '24 Fifth Ave', 'Massachusetts', 'Massachusetts', 'Massachusetts', 'Yankee Stadium', 'Massachusetts', 'MASSACHUSETTS', '237 W. 72nd St', 'NEW JERSEY', 'Massachusetts', 'MASSACHUSETTS']",7.6
