locations
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'MICHIGAN', 'Queens', 'Queens']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'MARYLAND', 'MARYLAND', 'MASSACHUSETTS', 'CONNECTICUT']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'UNITED KINGDOM']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '4 Pennsylvania Pl', 'EUROPE', 'GERMANY']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'George’s Apartment', 'Elaine’s Apartment']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pines Of Mar Gables', 'Kramer’s Apartment', 'Central Park', 'NEW YORK', 'FLORIDA', 'Brooklyn', 'ARIZONA', 'NEW JERSEY']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'SOUTH KOREA', 'Pendant Publishing', 'MARYLAND']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '350 Fifth Ave', 'UNITED KINGDOM', 'Long Island']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'MICHIGAN', 'NORWAY', '4 Pennsylvania Pl']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pines Of Mar Gables', 'CALIFORNIA', 'Pendant Publishing']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW YORK']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Brooklyn', 'OHIO', 'TEXAS']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEW YORK', 'Elaine’s Apartment', 'VERMONT']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'MASSACHUSETTS', 'Brooklyn', 'Elaine’s Apartment', 'CONNECTICUT', 'NEW YORK', 'Queens', 'MASSACHUSETTS', 'NEW JERSEY', 'Jerry’s Apartment', 'MASSACHUSETTS']"
"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', '323 Fifth Ave', 'MASSACHUSETTS', 'Long Island', 'Florida', 'Pines Of Mar Gables', 'Long Island', 'Florida']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'WASHINGTON', 'WASHINGTON', 'Queens', 'ILLINOIS', 'TEXAS', 'Elaine’s Apartment']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'WASHINGTON', 'WASHINGTON', 'Queens', 'ILLINOIS', 'TEXAS', 'Elaine’s Apartment']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'SOUTH KOREA']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'Queens', 'AFRICA']"
"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', 'Pines Of Mar Gables', 'FLORIDA']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'ILLINOIS', 'ILLINOIS']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', 'Bronx', 'Long Island', 'Kramer’s Apartment', 'Brooklyn']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW JERSEY', 'George’s Apartment', 'EUROPE', 'ILLINOIS', 'CHINA']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Queens']"
"['China', 'The Improv', 'Jerry’s Apartment', 'China', 'Monk’s Café', 'CHINA', 'ITALY', 'Elaine’s Apartment', 'UNITED KINGDOM']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'UNITED KINGDOM', 'MARYLAND', 'CALIFORNIA', 'Elaine’s Apartment', 'Long Island', 'HAWAII']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW JERSEY', 'NEW YORK', 'Long Island', 'Pendant Publishing', 'Long Island', 'EUROPE']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', 'Liberty Island', 'France', 'FRANCE', 'Greenwich Village']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Brooklyn', 'Brooklyn', 'Brooklyn']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CALIFORNIA']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Greenwich Village']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Elaine’s Apartment', 'NEW JERSEY', 'George’s Apartment']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '5 W. 63rd St', 'Queens', 'Elaine’s Apartment', 'TENNESSEE']"
"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', 'Queens', 'Queens', 'ILLINOIS', '4 Pennsylvania Pl', 'Queens', '4 Pennsylvania Pl']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Elaine’s Apartment', 'Queens', 'UNITED KINGDOM', 'SWITZERLAND', 'NEW YORK', 'George’s Apartment']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Yankee Stadium', 'MARYLAND', 'PENNSYLVANIA', 'MARYLAND', 'Pendant Publishing', 'TEXAS', 'SWEDEN']"
"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW YORK']"
"['The Improv', 'Jerry’s Apartment', 'California', 'Monk’s Café', 'CALIFORNIA', 'Elaine’s Apartment', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA']"
"['Jerry’s Apartment', 'Monk’s Café', 'SPAIN', 'SPAIN', 'SPAIN', 'ARIZONA', 'SPAIN', 'SPAIN', 'SPAIN', 'SPAIN', 'SOUTH KOREA', 'GREECE', 'GREECE', 'SPAIN']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'Queens', 'ILLINOIS', 'Liberty Island', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'MASSACHUSETTS', 'CALIFORNIA', 'CALIFORNIA', 'UNITED KINGDOM', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'UNITED KINGDOM', 'NEW JERSEY', '30 Rockefeller Pl', 'FRANCE', 'Kramer’s Apartment', 'NEW YORK', 'ITALY', 'NEVADA']"
"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'UNITED KINGDOM', 'NEW JERSEY', '30 Rockefeller Pl', 'FRANCE', 'Kramer’s Apartment', 'NEW YORK', 'ITALY', 'NEVADA']"
